Date,Candidate,Headline,Snippet,Headline_Cleaned,Snippet_Cleaned,Headline_Keywords,Headline_Stopwords,Headline_Tokens,Sentiment_Values,Sentiment,Snippet_Sentiment_Values,Snippet_Sentiment,Headline_polarity,Snippet_polarity
01/10/2016,Trump,"John Sununu reverses position, endorses Trump",Former New Hampshire governor explains his decision to support the GOP candidate,"John Sununu reverses position, endorses Trump",Former New Hampshire governor explains his decision to support the GOP candidate,"John, Sununu, reverses, position, ,, endorses, Trump",,"John, Sununu, reverses, position, ,, endorses, Trump","[{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}]",neu,"[{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}]",neu,0.34,0.4019
01/10/2016,Trump,Campaign adviser: Trump wins the debate over the economy,Fox News contributor and economic adviser to Trump explains on 'America's Election HQ' what issues he hopes the candidate will address at future debates,Campaign adviser: Trump wins the debate over the economy,Fox News contributor and economic adviser to Trump explains on 'America's Election HQ' what issues he hopes the candidate will address at future debates,"Campaign, adviser, :, Trump, wins, debate, economy","the, over, the","Campaign, adviser, :, Trump, wins, the, debate, over, the, economy","[{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}]",neu,"[{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}]",neu,0.5719,0.4215
01/10/2016,Trump,Women who know Trump defend the GOP candidate's character,Former VP of Trump International and former pageant contestants speak out on 'Hannity',Women who know Trump defend the GOP candidate's character,Former VP of Trump International and former pageant contestants speak out on 'Hannity',"Women, know, Trump, defend, GOP, candidate, character","who, the, 's","Women, who, know, Trump, defend, the, GOP, candidate, 's, character","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
01/10/2016,Trump,Trump's economic agenda: Cutting taxes for job creation,Trump senior economic adviser Steve Moore explains the strategy,Trump's economic agenda: Cutting taxes for job creation,Trump senior economic adviser Steve Moore explains the strategy,"Trump, economic, agenda, :, Cutting, taxes, job, creation","'s, for","Trump, 's, economic, agenda, :, Cutting, taxes, for, job, creation","[{'neg': 0.156, 'neu': 0.625, 'pos': 0.219, 'compound': 0.1531}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.1531,0.0
01/10/2016,Trump,Presidential campaign spiraling downward with talk of sex tapes,"Donald Trump is encouraging voters to check out a ""sex tape"" featuring the former beauty queen with whom he's feuding. Hillary Clinton's campaign is suggesting that a better rental is the adult film in which Trump himself appears.",Presidential campaign spiraling downward with talk of sex tapes,"Donald Trump is encouraging voters to check out a ""sex tape"" featuring the former beauty queen with whom he's feuding Hillary Clinton's campaign is suggesting that a better rental is the adult film in which Trump himself appears","Presidential, campaign, spiraling, downward, talk, sex, tapes","with, of","Presidential, campaign, spiraling, downward, with, talk, of, sex, tapes","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.058, 'neu': 0.716, 'pos': 0.226, 'compound': 0.8176}]",compound,0.0,0.8176
01/10/2016,Trump,Krauthammer: Trump needs to stop falling for traps,Syndicated columnist offers advice to both of the candidates on 'The Kelly File',Krauthammer: Trump needs to stop falling for traps,Syndicated columnist offers advice to both of the candidates on 'The Kelly File',"Krauthammer, :, Trump, needs, stop, falling, traps","to, for","Krauthammer, :, Trump, needs, to, stop, falling, for, traps","[{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.4215}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4215,0.0
01/10/2016,Trump,Ben Carson reacts to Trump's attacks on former Miss Universe,Trump supporter hopes the GOP candidate will focus on the issues,Ben Carson reacts to Trump's attacks on former Miss Universe,Trump supporter hopes the GOP candidate will focus on the issues,"Ben, Carson, reacts, Trump, attacks, Miss, Universe","to, 's, on, former","Ben, Carson, reacts, to, Trump, 's, attacks, on, former, Miss, Universe","[{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5423}]",neu,"[{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5994}]",neu,-0.5423,0.5994
01/10/2016,Trump,Trump looks to get past tweet frenzy with stop in swing state Pennsylvania,"Donald Trump is on the campaign trail Saturday with a stop in eastern Pennsylvania, a swing state critical in his path toward trying to win the White House and another opportunity for the Republican presidential nominee to steady his campaign after solid debate performance undone by final-minute accusations about demeaning women.",Trump looks to get past tweet frenzy with stop in swing state Pennsylvania,"Donald Trump is on the campaign trail Saturday with a stop in eastern Pennsylvania, a swing state critical in his path toward trying to win the White House and another opportunity for the Republican presidential nominee to steady his campaign after solid debate performance undone by final-minute accusations about demeaning women","Trump, looks, past, tweet, frenzy, stop, swing, state, Pennsylvania","to, get, with, in","Trump, looks, to, get, past, tweet, frenzy, with, stop, in, swing, state, Pennsylvania","[{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}]",neu,"[{'neg': 0.117, 'neu': 0.741, 'pos': 0.141, 'compound': 0.34}]",neu,-0.5423,0.34
01/10/2016,Trump,Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it',"Howard Kurtz told viewers Friday on ÒSpecial Report with Bret BaierÓ that when it comes to Donald TrumpÕs continued clashes with former Miss Universe Alicia Machado, Òhe canÕt seem to let go of it.Ó",Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it',"Howard Kurtz told viewers Friday on ÒSpecial Report with Bret BaierÓ that when it comes to Donald TrumpÕs continued clashes with former Miss Universe Alicia Machado, Òhe canÕt seem to let go of it.Ó","Kurtz, Trump, Miss, Universe, dust, :, ', let, '","on, 's, up, He, ca, n't, seem, to, go, of, it","Kurtz, on, Trump, 's, Miss, Universe, dust, up, :, ', He, ca, n't, seem, to, let, go, of, it, '","[{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.1531}]",neu,"[{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.1531}]",neu,-0.1531,-0.1531
01/10/2016,Trump,Mic Dropped: Debate commission admits 'issues' with TrumpÕs audio,The Commission on Presidential Debates admitted Friday there were indeed issues with Donald TrumpÕs audio at MondayÕs debate Ð four days after the Republican nominee complained about sound issues inside the venue and was mocked for it by Hillary Clinton.,Mic Dropped: Debate commission admits 'issues' with TrumpÕs audio,The Commission on Presidential Debates admitted Friday there were indeed issues with Donald TrumpÕs audio at MondayÕs debate Ð four days after the Republican nominee complained about sound issues inside the venue and was mocked for it by Hillary Clinton,"Mic, Dropped, :, Debate, commission, admits, ', issues, ', TrumpÕs, audio",with,"Mic, Dropped, :, Debate, commission, admits, ', issues, ', with, TrumpÕs, audio","[{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}]",neu,"[{'neg': 0.118, 'neu': 0.849, 'pos': 0.033, 'compound': -0.5574}]",neu,0.296,-0.5574
02/10/2016,Trump,Conway defends Trump attacks; Bill Clinton's past misconduct,"The Trump campaign manager joins ""MediaBuzz.""",Conway defends Trump attacks; Bill Clinton's past misconduct,"The Trump campaign manager joins ""MediaBuzz.""","Conway, defends, Trump, attacks, ;, Bill, Clinton, past, misconduct",'s,"Conway, defends, Trump, attacks, ;, Bill, Clinton, 's, past, misconduct","[{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4404,0.0
02/10/2016,Trump,What would voters tell Trump ahead of the next debate?,Street Justice': Judge Jeanine gets advice for the candidates,What would voters tell Trump ahead of the next debate?,Street Justice': Judge Jeanine gets advice for the candidates,"voters, tell, Trump, ahead, debate, ?","What, would, of, the, next","What, would, voters, tell, Trump, ahead, of, the, next, debate, ?","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
02/10/2016,Trump,Watters: Trump must get back on offense at next debate,Hillary can only do worse and Donald can only do better,Watters: Trump must get back on offense at next debate,Hillary can only do worse and Donald can only do better,"Watters, :, Trump, offense, debate","must, get, back, on, at, next","Watters, :, Trump, must, get, back, on, offense, at, next, debate","[{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.25}]",neu,"[{'neg': 0.207, 'neu': 0.6, 'pos': 0.193, 'compound': -0.0516}]",neu,-0.25,-0.0516
02/10/2016,Trump,"Trump responds to leaked IRS return, says he is best suited to fix country's 'complex tax laws'","Republican presidential nominee Donald Trump responded Sunday to a news report that he declared a loss of nearly $916 million on his 1995 income tax returns, saying he knows the country's ""complex tax laws better than anyone who has ever run for president.""","Trump responds to leaked IRS return, says he is best suited to fix country's 'complex tax laws'","Republican presidential nominee Donald Trump responded Sunday to a news report that he declared a loss of nearly $916 million on his 1995 income tax returns, saying he knows the country's ""complex tax laws better than anyone who has ever run for president.""","Trump, responds, leaked, IRS, return, ,, says, best, suited, fix, country, ', complex, tax, laws, '","to, he, is, to, 's","Trump, responds, to, leaked, IRS, return, ,, says, he, is, best, suited, to, fix, country, 's, ', complex, tax, laws, '","[{'neg': 0.107, 'neu': 0.698, 'pos': 0.195, 'compound': 0.4404}]",neu,"[{'neg': 0.052, 'neu': 0.882, 'pos': 0.066, 'compound': 0.1531}]",neu,0.4404,0.1531
02/10/2016,Trump,"Christie defends Trump's leaked tax return, says nothing illegal, 'no apologies'","New Jersey Gov. Chris Christie, a top Donald Trump adviser, on Sunday dismissed a news report that showed the Republican presidential nominee reported a $916 million loss on his 1995 federal tax return, saying that the report showed nothing Òoutside the law,Ó despite the Òbig, splashy headline.Ó","Christie defends Trump's leaked tax return, says nothing illegal, 'no apologies'","New Jersey Gov Chris Christie, a top Donald Trump adviser, on Sunday dismissed a news report that showed the Republican presidential nominee reported a $916 million loss on his 1995 federal tax return, saying that the report showed nothing Òoutside the law,Ó despite the Òbig, splashy headline.Ó","Christie, defends, Trump, leaked, tax, return, ,, says, illegal, ,, ', apologies, '","'s, nothing, no","Christie, defends, Trump, 's, leaked, tax, return, ,, says, nothing, illegal, ,, ', no, apologies, '","[{'neg': 0.152, 'neu': 0.529, 'pos': 0.318, 'compound': 0.3637}]",neu,"[{'neg': 0.05, 'neu': 0.911, 'pos': 0.039, 'compound': -0.128}]",neu,0.3637,-0.128
02/10/2016,Trump,Trump hits Clinton marriage,Hillary spokesman rips billionaire,Trump hits Clinton marriage,Hillary spokesman rips billionaire,"Trump, hits, Clinton, marriage",,"Trump, hits, Clinton, marriage","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.0,0.0
02/10/2016,Trump,Trump supporters defend GOP nominee after tax return leaked,Political panel discusses the impact this issue will have on the race,Trump supporters defend GOP nominee after tax return leaked,Political panel discusses the impact this issue will have on the race,"Trump, supporters, defend, GOP, nominee, tax, return, leaked",after,"Trump, supporters, defend, GOP, nominee, after, tax, return, leaked","[{'neg': 0.189, 'neu': 0.574, 'pos': 0.238, 'compound': 0.1531}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.1531,0.0
02/10/2016,Trump,Judith Miller: Leaked tax return clearly going to hurt Trump,Fox News contributor reacts to New York Times report on Donald Trump,Judith Miller: Leaked tax return clearly going to hurt Trump,Fox News contributor reacts to New York Times report on Donald Trump,"Judith, Miller, :, Leaked, tax, return, clearly, going, hurt, Trump",to,"Judith, Miller, :, Leaked, tax, return, clearly, going, to, hurt, Trump","[{'neg': 0.37, 'neu': 0.455, 'pos': 0.175, 'compound': -0.4588}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.4588,0.0
02/10/2016,Trump,Former Trump International VP defends Donald,Senada Adzem explains what it was like to work with the Republican nominee,Former Trump International VP defends Donald,Senada Adzem explains what it was like to work with the Republican nominee,"Trump, International, VP, defends, Donald",Former,"Former, Trump, International, VP, defends, Donald","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}]",neu,0.0,0.3612
02/10/2016,Trump,"Comparing the economic agendas of Trump, Clinton",Former Obama economic adviser Austan Goolsbee details plan to raise taxes on the wealthy and close corporate loopholes; Trump senior economic adviser Steve Moore explains GOP nominee's strategy,"Comparing the economic agendas of Trump, Clinton",Former Obama economic adviser Austan Goolsbee details plan to raise taxes on the wealthy and close corporate loopholes; Trump senior economic adviser Steve Moore explains GOP nominee's strategy,"Comparing, economic, agendas, Trump, ,, Clinton","the, of","Comparing, the, economic, agendas, of, Trump, ,, Clinton","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}]",neu,0.0,0.3612
03/10/2016,Trump,Donald Trump: I have brilliantly used the tax laws,The Republican nominee addresses his tax returns,Donald Trump: I have brilliantly used the tax laws,The Republican nominee addresses his tax returns,"Donald, Trump, :, brilliantly, tax, laws","I, have, used, the","Donald, Trump, :, I, have, brilliantly, used, the, tax, laws","[{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.6124}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.6124,0.0
03/10/2016,Trump,Trump working hard to escape controversy over tax returns,"The campaign is trying to turn the tables on Clinton, hitting her on how she and Bill made money after the White House; John Roberts reports for 'Special Report'",Trump working hard to escape controversy over tax returns,"The campaign is trying to turn the tables on Clinton, hitting her on how she and Bill made money after the White House; John Roberts reports for 'Special Report'","Trump, working, hard, escape, controversy, tax, returns","to, over","Trump, working, hard, to, escape, controversy, over, tax, returns","[{'neg': 0.139, 'neu': 0.693, 'pos': 0.168, 'compound': 0.0772}]",neu,"[{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4019}]",neu,0.0772,0.4019
03/10/2016,Trump,Trump surrogates praise Trump's knowledge of tax code,Alicia Acuna reports from Denver,Trump surrogates praise Trump's knowledge of tax code,Alicia Acuna reports from Denver,"Trump, surrogates, praise, Trump, knowledge, tax, code","'s, of","Trump, surrogates, praise, Trump, 's, knowledge, of, tax, code","[{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.5574}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,0.5574,0.0
03/10/2016,Trump,Trump surrogates argue tax leak shows he is a 'genius',"Kristin Fisher reports from Washington, D.C.",Trump surrogates argue tax leak shows he is a 'genius',"Kristin Fisher reports from Washington, D.C","Trump, surrogates, argue, tax, leak, shows, ', genius, '","he, is, a","Trump, surrogates, argue, tax, leak, shows, he, is, a, ', genius, '","[{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.5859}]",neu,"[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,-0.5859,0.0
03/10/2016,Trump,The Trump/Kardashian hype,Vanity Fair botches story,The Trump/Kardashian hype,Vanity Fair botches story,"Trump, /, Kardashian, hype",The,"The, Trump, /, Kardashian, hype","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,"[{'neg': 0.306, 'neu': 0.323, 'pos': 0.371, 'compound': 0.1027}]",pos,0.0,0.1027
04/10/2016,Trump,Austrian presidential hopeful meets US Trump backer,"A U.S. Republican congressman who supports Donald Trump has endorsed the right-wing candidate leading in popularity polls in the race to become Austria's next president, saying the Austrian's anti-immigration views have been heard internationally.",Austrian presidential hopeful meets US Trump backer,"A U.S Republican congressman who supports Donald Trump has endorsed the right-wing candidate leading in popularity polls in the race to become Austria's next president, saying the Austrian's anti-immigration views have been heard internationally","Austrian, presidential, hopeful, meets, Trump, backer",US,"Austrian, presidential, hopeful, meets, US, Trump, backer","[{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}]",neu,"[{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.765}]",neu,0.5106,0.765
04/10/2016,Trump,Trump campaign confident in Pence's debate preparation,VP candidate ready to hammer Kaine on the issues,Trump campaign confident in Pence's debate preparation,VP candidate ready to hammer Kaine on the issues,"Trump, campaign, confident, Pence, debate, preparation","in, 's","Trump, campaign, confident, in, Pence, 's, debate, preparation","[{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.4939}]",neu,"[{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}]",neu,0.4939,0.3612
04/10/2016,Trump,"Thank you, Bill Clinton for endorsing Donald Trump",,"Thank you, Bill Clinton for endorsing Donald Trump",,"Thank, ,, Bill, Clinton, endorsing, Donald, Trump","you, for","Thank, you, ,, Bill, Clinton, for, endorsing, Donald, Trump","[{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}]",neu,,,0.3612,"Thank you, Bill Clinton for endorsing Donald Trump"
04/10/2016,Trump,"Trump team says Kaine dodged debate questions, Clinton camp says Pence didn't want to defend Trump","Trump campaign manager Kellyanne Conway and Clinton campaign national press secretary Brian Fallon react to the vice presidential debate between Mike Pence and Tim Kaine on ""The Kelly File.""","Trump team says Kaine dodged debate questions, Clinton camp says Pence didn't want to defend Trump",,"Trump, team, says, Kaine, dodged, debate, questions, ,, Clinton, camp, says, Pence, want, defend, Trump","did, n't, to","Trump, team, says, Kaine, dodged, debate, questions, ,, Clinton, camp, says, Pence, did, n't, want, to, defend, Trump","[{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.0572}]",neu,,,-0.0572,"Trump team says Kaine dodged debate questions, Clinton camp says Pence didn't want to defend Trump"
04/10/2016,Trump,Trump campaigns in Arizona amid tax controversy,"Alicia Acuna reports from Prescott Valley, Arizona",Trump campaigns in Arizona amid tax controversy,,"Trump, campaigns, Arizona, amid, tax, controversy",in,"Trump, campaigns, in, Arizona, amid, tax, controversy","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Trump campaigns in Arizona amid tax controversy
05/10/2016,Trump,Pence shows Trump how it's done,Pence show Trump how not to rise to the bait,Pence shows Trump how it's done,,"Pence, shows, Trump","how, it, 's, done","Pence, shows, Trump, how, it, 's, done","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Pence shows Trump how it's done
05/10/2016,Trump,Donald Trump campaigning in Nevada,"Dan Springer reports from Henderson, Nevada",Donald Trump campaigning in Nevada,,"Donald, Trump, campaigning, Nevada",in,"Donald, Trump, campaigning, in, Nevada","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Donald Trump campaigning in Nevada
05/10/2016,Trump,"Kaine: Trump avoids taxes, doesnt support troops",Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11,"Kaine: Trump avoids taxes, doesnt support troops",,"Kaine, :, Trump, avoids, taxes, ,, nt, support, troops",does,"Kaine, :, Trump, avoids, taxes, ,, does, nt, support, troops","[{'neg': 0.442, 'neu': 0.558, 'pos': 0.0, 'compound': -0.4512}]",neu,,,-0.4512,"Kaine: Trump avoids taxes, doesnt support troops"
05/10/2016,Trump,Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11,,Sen Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11,,"Sen, Tim, Kaine, says, Donald, Trump, wo, rebuild, military, pay, taxes, 9/11","n't, because, he, did, not, during","Sen, Tim, Kaine, says, Donald, Trump, wo, n't, rebuild, military, because, he, did, not, pay, taxes, during, 9/11","[{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.0762}]",neu,,,0.0762,Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11
05/10/2016,Trump,Sen. Sessions: Trump is committed to ending the lawlessness,"On 'Fox & Friends,' lawmaker and Trump adviser reacts to the immigration discussion during the vice presidential debate",Sen Sessions: Trump is committed to ending the lawlessness,,"Sen, Sessions, :, Trump, committed, ending, lawlessness","is, to, the","Sen, Sessions, :, Trump, is, committed, to, ending, the, lawlessness","[{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}]",neu,,,0.2732,Sen. Sessions: Trump is committed to ending the lawlessness
06/10/2016,Trump,Ryan to make first campaign appearance with Trump,GOP nominee and House Speaker to appear together in Wisconsin,Ryan to make first campaign appearance with Trump,,"Ryan, campaign, appearance, Trump","to, make, first, with","Ryan, to, make, first, campaign, appearance, with, Trump","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Ryan to make first campaign appearance with Trump
06/10/2016,Trump,Meghan McCain blasts the 'Hollywood hysteria' over Trump,Celebrities push liberal causes in ads and videos; reaction on 'Outnumbered',Meghan McCain blasts the 'Hollywood hysteria' over Trump,,"Meghan, McCain, blasts, ', Hollywood, hysteria, ', Trump","the, over","Meghan, McCain, blasts, the, ', Hollywood, hysteria, ', over, Trump","[{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}]",neu,,,-0.4404,Meghan McCain blasts the 'Hollywood hysteria' over Trump
06/10/2016,Trump,Trump takes the heat for Nevada pronunciation,"Strategy Room: Ellen Ratner and Chandler Thornton weigh in on Donald Trump's campaign rally speech in Reno, Nevada, and insisting the pronunciation of the state is wrong",Trump takes the heat for Nevada pronunciation,,"Trump, takes, heat, Nevada, pronunciation","the, for","Trump, takes, the, heat, for, Nevada, pronunciation","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Trump takes the heat for Nevada pronunciation
06/10/2016,Trump,Trump campaign: Expect more specifics at town hall debate,Senior communications adviser Jason Miller weighs in on 'The Kelly File',Trump campaign: Expect more specifics at town hall debate,,"Trump, campaign, :, Expect, specifics, town, hall, debate","more, at","Trump, campaign, :, Expect, more, specifics, at, town, hall, debate","[{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}]",neu,,,0.0,Trump campaign: Expect more specifics at town hall debate
06/10/2016,Trump,Trump to Nevada Hispanics: ÔIÕm going to help millions of Latinos trapped in povertyÕ,"Campaigning in the battleground state of Nevada on Wednesday, Republican presidential nominee Donald Trump addressed a group of Hispanic business leaders, and finance, rather than immigration, was the topic most discussed.",Trump to Nevada Hispanics: ÔIÕm going to help millions of Latinos trapped in povertyÕ,,"Trump, Nevada, Hispanics, :, ÔIÕm, going, help, millions, Latinos, trapped, povertyÕ","to, to, of, in","Trump, to, Nevada, Hispanics, :, ÔIÕm, going, to, help, millions, of, Latinos, trapped, in, povertyÕ","[{'neg': 0.188, 'neu': 0.663, 'pos': 0.149, 'compound': -0.1779}]",neu,,,-0.1779,Trump to Nevada Hispanics: ÔIÕm going to help millions of Latinos trapped in povertyÕ
