Date,Headline,Snippet
2016-10-01,Trump and the Intellectuals,A case for Trump’s ideas that ignores the man himself.
2016-10-01,The Other Trump,"Unlike her prominent half siblings, Tiffany Trump has rarely been seen on the presidential campaign trail in 2016. But that may be about to change."
2016-10-01,Trump Infrastructure Plan’s Fatal Flaw,"The Republican nominee has proposed, in effect, to cut spending on infrastructure as part of his plan to borrow for spending on infrastructure."
2016-10-01,Donald Trump’s Pathetic Fraternity,Chris Christie and Rudy Giuliani once had pride. Now they have an orange overlord.
2016-10-01,How Could Anyone Vote for Trump?,It’s time for Republican leaders to exercise a little leadership.
2016-10-01,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,"In an interview, Mr. Trump said he was reconsidering whether he would back Mrs. Clinton if she became president."
2016-10-01,Report That Donald Trump Did Business in Cuba Ups the Ante in Florida,Revelations that Mr. Trump may have violated the ban on American companies operating in Cuba come as the presidential race is heating up in the state.
2016-10-01,"After Trump-Clinton, Vice-Presidential Debate Isn’t Exactly ‘the Return of Elvis’","Donald J. Trump and Hillary Clinton drew a record television audience for their first debate. By comparison, their running mates, Mike Pence and Tim Kaine, may be heavier on policy than on pizazz."
2016-10-01,Donald Trump Is Seen as Helping Push Asian-Americans Into Democratic Arms,"Asian-Americans are identifying as Democrats at a quicker pace than any other racial group, and many Republicans worry this election is accelerating that trend."
2016-10-01,Girl Talk at Trump Tower,"Stay tuned for “Really Desperate Housewives of Trumpworld,” featuring Newt Gingrich, Chris Christie, Roger Ailes and Rudy Giuliani."
2016-10-02,Donald Trump’s Taxes,Donald Trump has continued to decline to release his tax returns despite mounting pressure from both Democrats and Republicans. A look at some of the explanations for keeping his taxes private.
2016-10-02,Trump’s Tax Records,The New York Times obtained records from 1995 showing that Donald J. Trump declared a $916 million loss. The figure is so substantial that it could have allowed him to legally avoid paying federal income tax for 18 years.
2016-10-02,Alicia Machado vs. Donald Trump’s Machismo,"For the former Miss Universe from beauty pageant-crazy Venezuela, sexism and fat-shaming would be all too familiar."
2016-10-02,How Donald Trump Turned the Tax Code Into a Giant Tax Shelter,"If Mr. Trump’s pattern of generating losses and using them to offset other income has continued, as seems likely, it’s obvious why he has not released his tax returns: because he hasn’t paid any taxes."
2016-10-02,Donald Trump Criticizes Hillary Clinton,"At a rally on Saturday in Pennsylvania, as his tax records were being released, Mr. Trump mocked Mrs. Clinton’s bout of pneumonia and warned the audience about possible voter fraud."
2016-10-02,Donald Trump’s Taxes: What We Know and Don’t Know,"In the absence of any disclosures from Mr. Trump, The New York Times and other news outlets have attempted to fill in the gaps."
2016-10-02,The Time I Found Donald Trump’s Tax Records in My Mailbox,A manila envelope led to old-style investigative journalism involving a meeting in a bagel shop and an IBM Selectric typewriter.
2016-10-02,‘S.N.L.’ Begins a New Season With Alec Baldwin as Donald Trump,"Kate McKinnon returned as Hillary Clinton in the much-anticipated opening sketch, a parody of the first presidential debate."
2016-10-02,"Donald Trump Tax Records Show He Could Have Avoided Taxes for Nearly Two Decades, The Times Found","The Republican nominee reported nearly $1 billion in losses in 1995, opening the door to tax avoidance in subsequent years."
2016-10-02,Donald Trump and His Allies Struggle to Move Past Tax Revelation,Mr. Trump’s campaign lurched between refusing to acknowledge that released 1995 tax records were bona fide to insisting that his not having paid taxes was evidence of his unrivaled business prowess.
2016-10-03,The Trump Possibility,It’s the last chance to prevent a lazy and limited man who lies and cheats and thinks he has “great genes” from demeaning the Oval Office.
2016-10-03,Trump’s Fellow Travelers,Profiles in cowardice and fecklessness.
2016-10-03,Trump’s Tax (Avoidance) Plan,He is running for president partly to help more wealthy people be like him – and avoid paying taxes.
2016-10-03,James Stewart on Trump’s Taxes,The New York Times columnist says that the candidate must explain his nearly billion-dollar loss and what breaks in the tax code contributed to it.
2016-10-03,Trump Defends Tax Payments,"Donald J. Trump said at a campaign rally in Pueblo, Colo., that he had used the country's tax laws to his benefit “as legally required” and hated the way the current administration spends tax dollars."
2016-10-03,Clinton Hits Trump on Taxes,"Hillary Clinton, responding to the New York Times article on Donald J. Trump’s 1995 tax return, told a rally in Toledo, Ohio, that there should be a law requiring major party nominees to release their taxes."
2016-10-03,Donald Trump: Terroristic Man-Toddler,He’s an immature bully who lashes out when he should be embarrassed.
2016-10-03,Donald Trump Says a Strong Defense Against Cyberattacks Is Essential,"Cyberattacks from foreign governments “constitute one of our most critical national security concerns,” Mr. Trump told a group of military veterans in Virginia."
2016-10-03,State Attorney General Orders Trump Foundation to Cease Raising Money in New York,"Eric T. Schneiderman, the attorney general, said a charities bureau had determined that the Donald J. Trump Foundation was not registered to solicit donations under state law."
2016-10-03,9 Times Donald Trump Complained About Taxes,"On Twitter, Mr. Trump has denounced tax avoiders, complained about misuse of his own tax dollars and warned of the significant pain that paying taxes had caused him or others."
2016-10-04,Mr. Trump’s Government Bailout,"No ordinary citizen could benefit from the tax code like Donald Trump did, and his tax proposal would give people like him even more advantages."
2016-10-04,"Trump, Taxes and Citizenship",Citizens enrich society and themselves when they pull their fair share.
2016-10-04,"Gomez Addams, Donald Trump and the Art of Failing","The patriarch of TV’s “The Addams Family” was called a “failure at failing” by his wife. That means he, like Mr. Trump, might have been able to report taxable income of less than zero."
2016-10-04,"The Trump Dialogues, From a Parody Universe",Comedians take their fictional versions of Donald J. Trump’s inner circle to the internet.
2016-10-04,"Better Polling for Clinton, but Trump Is Keeping Core Support",Donald Trump’s strength among white working-class voters continues to offer him a narrow opening to victory.
2016-10-04,Donald Trump’s Business Decisions in ’80s Nearly Led Him to Ruin,Tax forms and public records show how debt that Mr. Trump amassed fueled enormous losses.
2016-10-04,"When It Comes to Tax Avoidance, Donald Trump’s Just a Small Fry","A new study shows how Fortune 500 companies have managed to shelter trillions of dollars in profits offshore from being taxed, leaving Mr. Trump in the dust."
2016-10-04,Trump as ‘Role Model’? Kelly Ayotte Says She Misspoke,"After praising Donald J. Trump during a debate in her Senate race, Ms. Ayotte tried to walk back her remarks, but it did not quiet critics on social media."
2016-10-04,How a Simple Tax Rule Let Donald Trump Turn a $916 Million Loss Into a Plus,"More than 500,000 individual taxpayers took advantage of the same tax rule as Mr. Trump in 1995. Their average loss: just $97,600."
2016-10-04,Vice-Presidential Debate: What You Missed,"Senator Tim Kaine of Virginia and Gov. Mike Pence of Indiana faced off at Longwood University in Farmville, Va., in their only debate."
2016-10-05,A Trumpism of the Left,Could Hillary Clinton’s technocratic party get a celebrity makeover someday?
2016-10-05,Kaine and Pence on Trump’s Taxes,"The vice-presidential candidates, Tim Kaine and Mike Pence, discussed Mr. Trump’s 1995 tax documents, which The Times recently disclosed, and his refusal to release more recent returns."
2016-10-05,Kaine on Pence’s Support of Trump,"Throughout the night, Tim Kaine repeatedly expressed disbelief that Mike Pence would defend various positions of his running mate’s."
2016-10-05,Donald Trump’s Slip in Polls Has G.O.P. Worried About Congress,"With Mr. Trump’s support plunging in swing states, Republican congressional candidates are faced with openly fleeing the nominee to save their own campaigns."
2016-10-05,Trump Says Pence Won the Debate,"Donald J. Trump, the Republican presidential nominee, said in Henderson, Nev., that Mike Pence won the vice-presidential debate and called him a “great Christian.”"
2016-10-05,Why Wouldn’t Tiffany Trump Speak for Herself?,I’m sure she could have handled it. Yet the campaign was subliminally suggesting that somehow she couldn’t.
2016-10-05,"After Mike Pence’s Debate Showing, Donald Trump Takes Credit",The Clinton and Trump teams each praised their vice-presidential candidates after the debate between Mike Pence and Tim Kaine.
2016-10-05,Mike Pence’s Defense Strategy: Dodge and Deflect Donald Trump’s Words,"At his debate with Senator Tim Kaine, Mr. Pence seemed to decide that all of the fires that Mr. Trump has set in the past year could not be doused in a single night."
2016-10-05,Donald Trump as Role Model? G.O.P. Senator ‘Absolutely’ Has Second Thoughts,Senator Kelly Ayotte of New Hampshire found herself apologizing for praising her party’s presidential candidate as a good role model.
2016-10-05,"In Visceral Ads for Hillary Clinton, Donald Trump Does All the Talking","Three Clinton ads depict how young women, children and veterans might respond when shown insults by Mr. Trump, a marked departure from traditional attack ads."
2016-10-06,Trump’s Deals: Hype and Reality,"Donald J. Trump is a prolific, if controversial, businessman. Here, we examine some of his ventures to find out how they fared. (Pictured: Mr. Trump showing off his home furnishings collection in 2007.)"
2016-10-06,"Global Trade War, Trump Edition","Why Larry Summers, Robert Reich and other economists think the Republican presidential candidate’s trade policies are ‘lunatic.’"
2016-10-06,Donald Trump’s Ventures Began With a Lot of Hype. Here’s How They Turned Out.,"Of roughly 60 ventures started or promoted by Mr. Trump, a third did not work out, a third had some success and some problems, and a third met expectations."
2016-10-06,Mike Pence Disavows Donald Trump’s Earlier Proposal Barring Muslims,"Asked during a number of interviews on Thursday about why he will not condemn the Muslim ban now, Mr. Pence said, “Because that’s not Donald Trump’s position now.”"
2016-10-06,Donald Trump Takes Advantage of a Republican Party Pitted Against Itself,"Mr. Trump has fomented divisions that began before he started his campaign, capitalizing on working-class whites’ anger at the party establishment."
2016-10-06,"The White House Rule: No Tax Returns, No Job","We wouldn’t have let someone with Trump’s returns serve in the cabinet, so how can he be president?"
2016-10-06,Megyn Kelly and Sean Hannity Indulge in Testy Public Clash,"The two Fox News anchors criticized each other’s treatment of the presidential candidates, with Mr. Hannity accusing Ms. Kelly of supporting Hillary Clinton."
2016-10-06,Who’s Sorry Now? The Country,Clinton even leads Trump when it comes to apologies.
2016-10-06,"Good, Bad and Mad: Andrew Rosenthal on the News","The Opinion columnist Andrew Rosenthal on the vice-presidential debate, efforts to legalize marijuana and other news."
2016-10-06,"Debates Past, and Debates Future","Readers urge the presidential candidates to go beyond attacks and sound bites, and reflect on the role of faith in the vice-presidential race."
2016-10-07,Letterman Has No Love for ‘Damaged’ Trump,"In an interview, Mr. Letterman gave his thoughts on the Republican presidential nominee and why he considers him “a person to be shunned.”"
2016-10-07,"Balance, Trump and Lies","Is any equivalence of the treatment of Clinton and Trump “false” because they are not compatible, any more than, say, harassment and murder?"
2016-10-07,Donald Trump Apology Caps Day of Outrage Over Lewd Tape,A vulgar discussion recorded in 2005 on a soap opera set added to evidence that Mr. Trump has a record of sexist behavior.
2016-10-07,"A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One","Hillary Clinton and Mr. Trump are getting ready, in their own ways, for Sunday’s town-hall-style debate in St. Louis, with Mr. Trump’s team calling it a must-win."
2016-10-07,"How This Jobs Report Can Help Clinton, and Trump","The numbers are such that Hillary Clinton can argue that the economy continues to improve, and Donald Trump can argue that things haven’t improved enough."
2016-10-07,My Dad Set the Precedent Donald Trump Is Flouting,"In 1967, my father convinced George Romney to release 12 years of tax returns, helping to establish a precedent that Donald J. Trump, so far, has defied."
2016-10-07,When Donald Trump Went to Washington and Got Himself a Tax Break,"In less than two years, a set of provisions was passed that stood to be enormously lucrative to Mr. Trump and the rest of the real estate industry."
2016-10-07,How Donald Trump Uses the Tax Code in Ways You Can’t,"Real estate developers like Donald J. Trump can combine a number of breaks in the tax code to generate large deductions, which could have allowed him to avoid paying any federal income tax for decades."
2016-10-07,The G.O.P. Ticket; Fox News in Chinatown,"A look at how the businessman at the top of the ticket is relying on the professional politician at the bottom. And in New York, a Fox News piece crudely mocks Chinese-Americans."
2016-10-07,How Many Times Have Both Parties Nominated New Yorkers for President?,"The Trump-Clinton campaign bears some, though not too many, similarities to three other New York-centric presidential elections."
2016-10-08,The Sleaziness of Donald Trump,He boasted about assaulting women. Enough.
2016-10-08,Donald Trump’s Apology That Wasn’t,"In a video expressing regret over his lewd comments, Mr. Trump remained defiant, calling the disclosure a “distraction” and used it to renew political and personal attacks on Hillary Clinton."
2016-10-08,"Donald Trump, Groper in Chief",A former business partner recounts her experience with Trump in the 1990s.
2016-10-08,"Tough Donald Trump Coverage, if a Little Late","The paper has offered readers powerful coverage of Donald Trump, but what if it had started doing so earlier in the campaign?"
2016-10-08,Why Republicans Are Probably Stuck With Donald Trump,"Unless he becomes incapacitated or quits, getting rid of him is, legally and logistically, “the equivalent of a triple bank shot.”"
2016-10-08,Donald Trump’s Lewd Comments About Women,"In a 2005 recording obtained by The Washington Post before the presidential election, Donald J. Trump talks about women in vulgar terms to Billy Bush, then the host of “Access Hollywood.”"
2016-10-08,Lewd Donald Trump Tape Is a Breaking Point for Many in the G.O.P.,Pressure built on the candidate to withdraw from the presidential campaign as party leaders urged the G.O.P. to shift its focus to down-ballot contests.
2016-10-08,Those Who Don’t Understand Trump Are Doomed to Repeat Him,"Throughout history, countries have struggled to recover from economic crises, leaving the door open for nationalism and populist leaders."
2016-10-08,Billy Bush Says He’s Ashamed by Lewd Talk With Donald Trump,"Mr. Bush, a cousin of President George W. Bush, said he was “less mature, and acted foolishly“ in a 2005 conversation with Mr. Trump about women."
2016-10-08,Transcript of Donald Trump’s Videotaped Apology,"In a brief video early Saturday, Mr. Trump expressed regret for vulgar comments he made about women in 2005."
2016-10-09,Trump and Clinton’s Second Debate: Analysis,Here’s how we analyzed in real time the second presidential debate between Hillary Clinton and Donald J. Trump.
2016-10-09,Men Say Trump’s Remarks on Sex and Women Are Beyond the Pale,"Men of many backgrounds and parts of the country had varied opinions on how men talk, but they agreed that Mr. Trump’s version was unacceptable."
2016-10-09,Donald Trump Vows Retaliation as Republicans Abandon Him,Mr. Trump called the defectors “self-righteous hypocrites” and predicted their defeat at the ballot box.
2016-10-09,"Inside Trump Tower, an Increasingly Upset and Alone Donald Trump","Shunned by many Republicans over his lewd comments about women, Mr. Trump spent most of Friday and Saturday at his headquarters as his advisers pondered his next steps."
2016-10-09,How NBC Finished Second on the Trump Video Story,Top NBC officials learned early last week of the video of Donald J. Trump making vulgar remarks about women. But it was The Washington Post that broke the story.
2016-10-09,Donald Trump’s Loyalists Aren’t Fleeing the Latest Storm,The Republican candidate’s supporters are apparently standing by him despite the release of a 2005 recording of him speaking about women in vulgar terms.
2016-10-09,Donald Trump Highlights Breitbart Interview With Clinton Accuser,"On Twitter, the Republican candidate pointed to a new interview with Juanita Broaddrick, who claimed in 1999 that Bill Clinton had raped her."
2016-10-09,Utah’s Top Mormons in ‘All-Out Revolt’ Against Donald Trump,Outrage among Republicans about Mr. Trump has allowed Democrats to contemplate what was once unthinkable: taking the state for Hillary Clinton in November.
2016-10-09,"Donald Trump the Showman, Now Caught in the Klieg Lights","Donald J. Trump deftly used the blending of news and entertainment to build a brand, and then a campaign. But all that drama has turned into a big, messy show."
2016-10-09,Donald Trump’s Long Record of Degrading Women,"The candidate has a history of insulting or unwelcome conduct that goes back several decades, The New York Times has found."
2016-10-10,Donald Trump Goes Low,"Sniffing and glowering, Donald Trump prowled behind Hillary Clinton. Once again, she was the only adult on the stage."
2016-10-10,"Donald Trump, Barbarian at the Debate",We have to stop grading this man on a curve.
2016-10-10,"Trump, the Next Big Short","For years, business has wanted someone with corporate experience in the White House. Suddenly, that prospect doesn’t seem so appealing."
2016-10-10,"Trump’s Second Debate, in Brief",He just lies. Relentlessly.
2016-10-10,The Donald Trump We Always Knew,Neither Sunday’s debate nor the 2005 video showed us anything new about the Republican nominee.
2016-10-10,A Partisan Crowd Watches the Debate at the New Trump Hotel,"Sunday’s debate drew a crowd to the bar of the month-old Trump International Hotel in Washington, where the TVs were turned to Fox and free wine was flowing."
2016-10-10,Trump to Clinton: ‘You’d Be in Jail’,"Donald J.Trump told Hillary Clinton during their second presidential debate that if he were elected he would seek a special prosecutor’s investigation of her and that if he were in charge, “You'd be in jail.”"
2016-10-10,"For G.O.P. Candidates, Renouncing Donald Trump Carries Dire Risks","In interviews, many Trump supporters in Arizona and New Hampshire spoke witheringly of incumbents who have withdrawn their support for the party’s presidential nominee."
2016-10-10,Trump and Clinton in Second Presidential Debate,Donald J. Trump and Hillary Clinton faced off in a 90-minute debate filled with unremitting hostility.
2016-10-10,Donald Trump Acknowledges Not Paying Federal Income Taxes for Years,The admission of using a loss to avoid future taxes came in response to a question at Sunday’s debate with Hillary Clinton.
2016-10-18,Pledging the Trump Fraternity,"Like other groups, Delta Kappa Trump has its own status symbols and initiation ceremonies."
2016-10-18,Obama to Trump: Stop Whining,"Speaking at the White House with the Italian prime minister, President Obama responded to a journalist’s question about Donald J. Trump’s claims of a rigged election by saying Mr. Trump should “stop whining.”"
2016-10-18,Trump Calls for Term Limits,"Donald J. Trump, speaking Tuesday at a campaign event in Colorado Springs, said that if he was elected president he would call for congressional term limits."
2016-10-18,Shameful Silence on Donald Trump’s Lies About Vote-Rigging,Republican leaders must reject the ridiculous notion that a national election can be “rigged.”
2016-10-18,What Our Sons Are Learning From Donald Trump,A presidential candidate’s definition of masculinity prompts a second look at the damaging assumptions behind “boys will be boys.”
2016-10-18,Donald Trump Says He Might Meet With Putin Before Inauguration,"In a radio interview on Monday, Mr. Trump said that Hillary Clinton and the Obama administration have been too aggressive with the Russian president."
2016-10-18,Obama Tells Trump: Stop ‘Whining’ and Trying to Discredit the Election,"At a news conference, the president said Donald J. Trump’s claims showed that the Republican Party’s nominee lacked the leadership or toughness to be president."
2016-10-18,Hillary Clinton and Donald Trump Answer Your Questions,"Readers told us what issues they wanted to hear more about, and the campaigns responded."
2016-10-18,"Trump Wants Big Changes to Legal Immigration, Too — How Big?",Donald J. Trump has proposed the most substantial restrictions on legal immigration in nearly a century.
2016-10-18,Magazine Says Six People Corroborate Writer’s Claim Trump Assaulted Her,"A People magazine article contains comments supporting the accusation of Natasha Stoynoff, a writer for the magazine."
2016-10-19,The Trump Afterlife,Keeping his movement going after November will be a challenge.
2016-10-19,Melania Trump Mimics Hillary Clinton to Defend Donald Trump,She’s parroting the arguments Clinton used decades ago about a “conspiracy” against Bill.
2016-10-19,Trump in a Bikini,He relentlessly scrutinizes others. Let’s conduct various examinations of him.
2016-10-19,The Religious Right’s Trump Schism,“The world is getting a glimpse into the dark and rotting core of evangelicalism.”
2016-10-19,Goldman Sachs C.E.O. on Trump,"“We weren’t meeting in secret and we certainly weren’t plotting the destruction” of America, said Lloyd Blankfein, reacting to comments from Donald Trump."
2016-10-19,Trump and Clinton’s Last Debate: Analysis,Here’s how we analyzed in real time the last presidential debate between Hillary Clinton and Donald J. Trump.
2016-10-19,Review: ‘Michael Moore in TrumpLand’ Isn’t About Donald Trump,"The film, which captures a live stage performance by Mr. Moore, is not a rollicking attack on the Republican nominee but a paean to Hillary Clinton."
2016-10-19,How Donald Trump Hacked the Politics of Foreign Policy,Scholars of American politics say Mr. Trump is using international issues as a medium to connect with voters’ gut-level fears and desires.
2016-10-19,Donald Trump’s Call to Monitor Polls Raises Fears of Intimidation,"The candidate has issued dark warnings about a “stolen” election and voter fraud, using language that is leading to anxiety in minority communities."
2016-10-19,How Silicon Valley Treats a Trump Backer: Peter Thiel,"Peter Thiel, who has drawn fire from fellow tech executives for supporting Donald J. Trump, plans to address the issue in a speech this month."
2016-10-20,Trump and Clinton on Abortion,Donald J. Trump and Hillary Clinton offered drastically different opinions on the issue of abortion during the presidential debate in Las Vegas on Wednesday.
2016-10-20,Was That a Presidential Debate or a Pitch for Trump TV?,"There were two Donald J. Trumps at the debate in Las Vegas: The presidential candidate, and the possible future media mogul."
2016-10-20,Donald Trump’s Contempt for Democracy,"In saying he was not sure if he’d support the election results, Mr. Trump added another reason he is not qualified to be president."
2016-10-20,A ‘Taco Wall’ to Protest Trump,"Supporters of the Democratic nominee for president, Hillary Clinton, surrounded a Trump Hotel in Las Vegas with about 150 taco trucks on Wednesday and staged protests ahead of the final presidential debate."
2016-10-20,Donald Trump vs. American Democracy,He’s desperate for a reason to explain why he’s losing.
2016-10-20,"Donald Trump Is Wrong on Mosul Attack, Military Experts Say","They said that Mr. Trump’s armchair generalship revealed a fundamental lack of understanding of Iraqi politics, military warfare, and military history."
2016-10-20,Donald Trump Won’t Say if He’ll Accept Result of Election,"“I will keep you in suspense,” Donald Trump said at a debate that began cordially but turned caustic. Hillary Clinton replied that his statement was “horrifying.”"
2016-10-20,Trump and the ‘Rigged’ Emmy Awards: A History of Snubs,"“The Apprentice” has been nominated several times for Primetime Emmy Awards, and its losses have apparently weighed on Mr. Trump."
2016-10-20,A 10th Woman Accuses Donald Trump of Inappropriate Touching,"Karena Virginia said she was 27 when Mr. Trump approached her, grabbed her arm and touched her breast outside the U.S. Open tennis tournament in 1998."
2016-10-20,Donald Trump Says He Will Accept Election Outcome (‘if I Win’),"“Of course I would accept a clear election result, but I would also reserve my right to contest or file a legal challenge in the case of a questionable result,” Mr. Trump said."
2016-10-21,"Donald Trump, Enemy of Democracy",What’s the best response from all of us? To fight his attempted despotism with more democracy.
2016-10-21,Trump to Accelerate Campaign Schedule,"Donald J. Trump said in Fletcher, N.C., that from now on he would be packing his schedule with events and expressed determination to win the presidential election."
2016-10-21,Donald Trump’s Theories of Constitutional Interpretation,The Constitution is the guide.
2016-10-21,Clinton Calls Trump Threat to Democracy,Hillary Clinton’s comments came as Donald J. Trump has repeatedly declined to say that he would accept the results of the presidential election.
2016-10-21,Trump Speaks at Al Smith Dinner,"After a contentious debate the night before, Donald J. Trump shared the stage with Hillary Clinton one last time."
2016-10-21,Trump and Clinton Both Accelerated Spending in September,"Donald Trump spent $70 million, according to reports, more than double the $30 million in August. Hillary Clinton’s campaign spent even more, $95 million."
2016-10-21,Donald Trump’s Defiance Is Seen as ‘Colossal Mistake’ That Threatens U.S. Image,"Diplomats and elected officials fear that Mr. Trump, if he loses, will severely undermine the international reputation of the American political system."
2016-10-21,Clinton Jabs Trump at Al Smith Dinner,"Hillary Clinton took the stage at the charity event, a respite of humor in a bruising campaign against Donald J. Trump."
2016-10-21,Trump the Anti-American,"Rage is all that Trump has had to offer. His America is small. But this is still the land of “Sure,” of the embrace of possibility."
2016-10-21,"Times Lawyer on Donald Trump, Libel and Free Speech","“The press serves as a check on people in power,” says David McCraw, The Times’s vice president and assistant general counsel."
2016-10-22,Mr. Gingrich’s ‘Big Trump’,Newt Gingrich is positioning himself as the politician best able to mobilize Trump supporters going forward.
2016-10-22,"Thank You, Donald Trump",His boasts have shown what women endure every day.
2016-10-22,What Nixon Could Teach Trump About Losing,"Despite voting irregularities, he refused to cry foul after the 1960 election."
2016-10-22,Gay Republican Group Declines to Endorse Donald Trump,The Log Cabin Republicans said its members were torn between the favorable words Mr. Trump has spoken about their concerns and the anti-gay-rights policies he has embraced.
2016-10-22,Donald Trump Pledges to ‘Heal Divisions’ (and Sue His Accusers),"Mr. Trump went to Gettysburg, Pa., for what was supposed to be a major policy speech. He spent much of it dwelling on grievances."
2016-10-22,The Clinton and Trump Foundations Are Vastly Different. Here’s How.,A comparison of the Clinton and Trump Foundations and the controversies that surround them.
2016-10-22,Trump Recording Narrows Divide on Sexual Assault,A three-minute clip of Mr. Trump boasting about groping women appears to have prompted a change in consciousness that usually takes decades.
2016-10-22,Can Trump Help Us Bridge the ‘God Gulf’?,The crisis among evangelicals over supporting Donald Trump’s candidacy has also provided an opportunity.
2016-10-22,John McCain’s Choice on Trump,"The senator could try to rebuild the Republican Party, or he could play it safe."
2016-10-22,Donald Trump’s Warning on Election Result Sounds Familiar to Some Immigrants,The candidate’s recent comments about the legitimacy of the election have perversely made some immigrants feel right at home.
2016-10-23,Hillary Clinton Presses Her Advantage Over a Struggling Donald Trump,"With a strong lead in national polls, Mrs. Clinton is urging core Democratic constituencies to vote early in states where balloting has begun."
2016-10-23,Donald Trump’s Threat to Reject Election Results Alarms Scholars,"Mr. Trump’s claims that the vote will be “rigged” and “taken away from us” erodes popular faith in democracy, political scientists say."
2016-10-23,G.O.P. Hopefuls in New York Races Walk Tightrope on Donald Trump,Republicans are trying to find a balance between expressing support for Mr. Trump and distancing themselves from a candidate who may become toxic to the moderates and independents they need to win.
2016-10-23,Donald Trump Gets First Major Endorsement in Las Vegas,"The Las Vegas Review-Journal, Nevada’s largest newspaper, is the first major newspaper to give Mr. Trump its support."
2016-10-23,‘Not a Regular Day’: What a Trump Rally Clash Reveals About a Divided Nation,"In June in San Jose, Calif., a tug of war over a sign supporting Donald J. Trump sent one man to jail for six days and another man to soul-searching. This is their story."
