Date,Headline,Snippet
2016-10-23,"With Tom Hanks Aboard, ‘S.N.L.’ Parodies Final Presidential Debate","In the show’s opening sketch, Alec Baldwin and Kate McKinnon reprised their roles as Donald Trump and Hillary Clinton, with Mr. Hanks playing the moderator Chris Wallace."
2016-10-23,"Now at GQ, Keith Olbermann Takes His Outrage Online","Mr. Olbermann, the itinerant sports and news broadcaster, is making a series of commentaries opposing Donald J. Trump."
2016-10-23,"Obama Assists 150 State Candidates, Targeting G.O.P.’s Grip on Legislatures","Republicans control most statehouse chambers, but with Donald J. Trump stumbling, Democrats hope for down-ballot gains in Minnesota, Colorado, Nevada and elsewhere."
2016-10-23,On the Trail: Week of Oct. 16,"Hillary Clinton stayed off the campaign trail for most of the week, meeting Donald J. Trump for the final presidential debate on Wednesday, and again on Thursday, at the Al Smith dinner."
2016-10-23,"AT&T, Chicago Cubs and Mosul: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.
2016-10-24,It’s Trump’s Party,Don’t let anyone pretend otherwise.
2016-10-24,"What’s in a Name? When It’s ‘Trump Place,’ It’s a Revolt","At three large rental buildings on the Upper West Side of Manhattan, a movement is underway to rid the properties of Donald J. Trump’s name."
2016-10-24,Sorting Out a ‘Big’ Trump Controversy,"Donald J. Trump’s use of the phrase “big league” has divided social media into two camps: Those who believe he said “bigly,” and those who heard “big league.”"
2016-10-24,"Yes, Trump Really Is Saying ‘Big League,’ Not ‘Bigly,’ Linguists Say","An unusual turn of phrase, combined with Donald Trump’s unique pronunciation of it, has confused, and amused, listeners."
2016-10-24,"For Republicans Abandoning Donald Trump, Obama Has a Message: ‘Too Late’","The president, widening his attack on Mr. Trump, excoriated Representative Joe Heck of Nevada and others for failing to reject the candidate earlier."
2016-10-24,Clinton Leads Trump as Marathon Nears the Final Sprint,"The Trump camp conceded that it was lagging, but the campaign manager, Kellyanne Conway, said it still saw a path to victory."
2016-10-24,"Donald Trump Dismisses Latest Accuser: ‘Oh, I’m Sure She’s Never Been Grabbed Before’","Mr. Trump disparaged an actress named Jessica Drake, who over the weekend said that in 2006 he had groped and kissed her without her permission."
2016-10-24,"Fearing Trump, Bar Association Stifles Report Calling Him a ‘Libel Bully’",Critics of the American Bar Association said the decision was ironic since the group is supposed to explore issues about threats to free speech.
2016-10-24,Could Hillary Clinton Win Texas? Some Democrats Say Maybe,"The state has voted for the G.O.P. candidate in the past nine presidential elections, but Donald J. Trump may have created an opening for Mrs. Clinton."
2016-10-24,WikiLeaks’ Gift to American Democracy,Revelations about Donald Trump and the Clinton campaign have pulled back the curtain on the political-celebrity mythmaking the media too often abets.
2016-10-25,"A New Trump Brand Not Named for Trump? Yes, Meet Scion",A hotelier’s attempts to branch out are complicated by a presidential campaign.
2016-10-25,Trump Rails Against Obamacare,Donald J. Trump said that figures suggesting Affordable Care Act premiums would increase by an average of 25 percent for next year were far too low.
2016-10-25,Is This Election Rigged Against Trump?,"With Donald J. Trump's claims that the election is rigged against him, we take a look at past close and contentious elections."
2016-10-25,Omarosa Manigault Changed Parties for Trump,The campaign official believes the Republican nominee can secure 15 percent of the African-American vote.
2016-10-25,"What Drives Donald Trump? Fear of Losing Status, Tapes Show","In more than five hours of conversations — the last extensive biographical interviews he granted before running for president — Mr. Trump makes clear how difficult it is for him to imagine, let alone accept, defeat."
2016-10-25,Obama Urges Democrats to Turn Out in Force Against Donald Trump and G.O.P.,"Mr. Obama said the coming election was a test of American values, with grave stakes for the country and for the next president’s ability to govern in a divisive time."
2016-10-25,Consultant With Ties to Donald Trump Linked to Offer to Hide Source of Donations,A video by a British newspaper appears to show a former consultant to a pro-Trump super PAC offering to disguise the source of foreign contributions.
2016-10-25,From ‘Hamilton’ to Donald Trump: Are All ‘Grievances’ Created Equal?,Airing and addressing them is a founding principle of American democracy. But what if a claim of injustice is just a grudge?
2016-10-25,"Seizing on Rising Costs, Trump Says Health Law Is ‘Over’","The Trump campaign, desperate for a winning political issue in the final two weeks of the race, mounted an offensive against the Affordable Care Act."
2016-10-25,‘I Had a Scary Dream About Donald Trump’: Muslim Parents Face a Tense Election,"Across the country, Muslims have been addressing with their children a news cycle that includes Mr. Trump’s calls to kick Muslims out of the United States and the recent bombing in Manhattan."
2016-10-26,Donald Trump the Candidate Promotes Trump the Brand on Campaign Trail,"As his poll numbers have fallen, Mr. Trump has taken reporters to his top properties in between campaign events — perhaps looking beyond Election Day."
2016-10-26,How Donald Trump Used Hollywood to Create ‘Donald Trump’,"Donald J. Trump has been a near-constant presence in TV shows, movies, documentaries, pageants and even professional wrestling events, since the 1980s."
2016-10-26,"Donald Trump, Alien to All That’s Great","We know who he is. The big question now is, who are the rest of us?"
2016-10-26,Trump Unveils Hotel in Washington,Donald J. Trump turned his attention away from the presidential race long enough for a ribbon-cutting at his new hotel in Washington.
2016-10-26,"A Close Race for Darrell Issa, the House’s Mini-Trump","Representative Issa, the car-alarm king of California, finds his embrace of Mr. Trump could cost him — so now he’s embracing Mr. Obama."
2016-10-26,Black Voters on Donald Trump: We’ve Heard It All Before,"For many black Americans, Mr. Trump is a familiar figure whose candidacy is exposing to others the diminishing words they have heard their whole lives."
2016-10-26,Trump TV Offers (Fledgling) Framework for Potential Media Future,An election show streaming on Facebook Live is fueling speculation that Donald J. Trump is laying the groundwork for a media empire to come.
2016-10-26,Donald Trump’s Star on Hollywood Walk of Fame Is Smashed,A man was arrested and accused of taking a sledgehammer and a pickax to Donald J. Trump’s star on Hollywood Boulevard in Los Angeles.
2016-10-26,Donald Trump Allies Focus Anger on Another Target: G.O.P. Leaders,Conservatives in the factionalized Republican Party are already fanning the flames for a postelection revolt against Speaker Paul D. Ryan.
2016-10-26,"Women, the Military and Bill Clinton: Donald Trump on Tape","In interviews from 2014 with his biographer, Mr. Trump is candid about everything, from his marriages to Mr. Clinton’s golf game."
2016-10-27,How Do You Explain Trump in Russia?,Teaching English is easy compared with answering questions about the G.O.P. presidential nominee.
2016-10-27,Emails With My Favorite Trump Supporter,I tell my old friend that he’s revolting and dangerous and to tell his wife that I say hi.
2016-10-27,Donald Trump’s Lack of Discipline and Discernment,"According to his own words, he objectifies women, prioritizes fighting and fetishizes adoration."
2016-10-27,Some Donald Trump Voters Warn of Revolution if Hillary Clinton Wins,"Among Mr. Trump’s supporters, some worry that they will be forgotten, along with their concerns, if Mrs. Clinton wins. Others predict violent conflict."
2016-10-27,"Abandoning Donald Trump and, for Some Women, the G.O.P., Too","The Republican Party is in the midst of a gender war, with men and women taking sharply different stances over accusations of groping by Mr. Trump."
2016-10-27,"A Close Race for Darrell Issa, the House Mini-Trump","Representative Darrell Issa, elected to the House in 2000, is one of two California Republicans whose re-election bids are imperiled by their embrace of Mr. Trump."
2016-10-27,Review: Another Look at Donald Trump’s Scottish Dealings,"“You’ve Been Trumped Too,” from Anthony Baxter, follows up on what happened to residents of Balmedie after Mr. Trump built a golf resort there."
2016-10-27,The Dark Days of Donald Trump,The half-minute candidate takes care of business.
2016-10-27,Donald Trump Offers His Version of ‘New Deal for Black America’,"The plan combines elements of his education proposals, tax cuts and immigration policies to revive cities that he has described as blighted."
2016-10-27,"With a Politician’s Flair, Khizr Khan Tries to Push Clinton to Finish Line","At a seafood restaurant in Virginia, Mr. Khan made his first appearance on the campaign trail for Hillary Clinton but said his mission transcended politics."
2016-11-21,Trump Foundation Won’t Pay Any of $25 Million University Settlement,Donald Trump’s representatives told New York’s attorney general that no money would come from “any charitable foundation or other charitable entity.”
2016-11-21,"A List of Priorities From Trump, and Kris Kobach Tips His Hand",The stream of job candidates visiting the president-elect continued as transition officials began turning their focus to their economic and domestic policy teams.
2016-11-21,Donald Trump’s Swamp Gets Murkier,A disturbing number of lobbyists and special interest players are joining the transition team.
2016-11-21,Trump Announces Policy Plans,President-elect Donald J. Trump vowed in a YouTube video to focus on creating jobs and reducing regulations as soon as he takes office.
2016-11-21,Melania and Barron Trump Won’t Immediately Move to White House,"They will remain in New York for at least another six months after the inauguration, transition officials said, out of concern for uprooting him in the middle of the school year."
2016-11-21,"Where Donald Trump Stands on School Choice, Student Debt and Common Core","The president-elect has sent mixed signals on education policy, but here is an overview of what schools and universities might expect from his administration."
2016-11-21,How Hard (or Easy) It Will Be for Trump to Fulfill His 100-Day Plan,"He can accomplish some of his promises entirely on his own, but others require Congress or pose other significant obstacles."
2016-11-21,Trump: Making America White Again,The president-elect aims for a country by and for white men.
2016-11-21,Rally in Brooklyn Park Condemns Swastikas and ‘Go Trump’ Graffiti,"At Adam Yauch Park, elected officials and Adam Horovitz of the Beastie Boys spoke out against hate crimes, reports of which have risen in New York City this year."
2016-11-21,Alt-Right Gathering Exults in Trump Election With Nazi-Era Salute,"The alt-right, an extremist fringe popular with white supremacists, has celebrated the election of Donald J. Trump, and now hopes to have the ear of his White House."
2016-11-22,"Trump, on YouTube, Pledges to Create Jobs","Reading from a script in an update on the transition, the president-elect struck a softer tone, avoiding topics like terrorism and immigration."
2016-11-22,Gun Owners ‘Can Breathe Again’: Trump’s Win Emboldens Advocates,"Supporters of the Second Amendment, ecstatic that Hillary Clinton lost, anticipate an expansion of gun rights with a Trump administration and a Republican-led Congress."
2016-11-22,Trump Foundation May Have Used Money to Benefit One of Its Own,"The Donald J. Trump Foundation acknowledged on its 2015 tax form that it had used money or assets for a “disqualified person,” or one of the organization’s central people."
2016-11-22,Donald Trump’s Business Dealings Test a Constitutional Limit,"If Mr. Trump continues, once inaugurated, to profit from transactions with companies controlled by foreign governments, he may run afoul of the Emoluments Clause."
2016-11-22,"Grievances and Grumblings, Long Before Chris Christie’s Fall in Donald Trump’s Circle","Governor Christie’s dismissal from the president-elect’s transition team was weeks in the making, according to interviews with people close to the governor and the campaign."
2016-11-22,"Small Banks Cheer Trump. So, After a Pause, Do Big Ones.","Community bankers overwhelmingly supported Donald J. Trump’s campaign. Now, as mega-banks’ stock soars, they too are looking ahead to the benefits of his administration."
2016-11-22,Civil Rights Groups Call on Trump to Denounce Racism of Alt-Right,"The president-elect has been criticized for fanning the flames of hate groups, and the latest outcry followed a conference of white nationalists in Washington this weekend."
2016-11-22,Donald Trump Drops Threat of New Hillary Clinton Investigation,“Lock her up”? The president-elect signaled that he would prefer to move on rather than pursue inquiries into Mrs. Clinton’s email use and the Clinton Foundation.
2016-11-22,Mayor de Blasio Vows to Shield New Yorkers From Trump’s Policies,"Echoing the governor, Mayor Bill de Blasio pledged to challenge the creation of a Muslim registry and promised to protect immigrants threatened with deportation."
2016-11-22,Less Defiant Trump at The Times: ‘I Hope We Can All Get Along’,The president-elect’s push-pull approach to the news media was on display in his responses to questions about the First Amendment and Breitbart News.
2016-11-23,"At Donald Trump’s Properties, a Showcase for a Brand and a President-Elect",Questions are being raised about whether Mr. Trump is exploiting the high profile of the presidency to conduct what could be seen as a promotional tour for the Trump Organization.
2016-11-23,Donald Trump’s Early Backers in State Government May See Rewards,"In every presidential race, there are early and fierce endorsers of the winning candidate who are then viewed, postelection, as having more influence."
2016-11-23,Trump Diversifies Cabinet; Picks Nikki Haley and Betsy DeVos,"The president-elect’s first picks were white men, but now he has recruited two women: Gov. Nikki R. Haley of South Carolina and Betsy DeVos, a G.O.P. philanthropist."
2016-11-23,Donald Trump Close to Picking Ben Carson as Housing Secretary,The choice of the former neurosurgeon suggested that Mr. Trump was seeking diversity in an administration that has started off predominantly white and male.
2016-11-23,"In Betsy DeVos for Education, Trump Taps Into Michigan Royalty",President-elect Donald J. Trump has chosen Gov. Nikki Haley of South Carolina to be ambassador to the United Nations.
2016-11-23,Book Publishers Scramble to Make Sense of Trump’s Rise to Victory,"Publishing houses were caught off-guard by Donald Trump’s win on Election Day, and editors, agents and publishers are now racing to acquire works like memoirs and political analysis."
2016-11-23,Donald Trump’s New York Times Interview: Full Transcript,"Read the full text of the president-elect’s meeting with reporters, editors and opinion columnists from The Times."
2016-11-23,Nikki Haley Chosen as U.N. Ambassador,"Ms. Haley, the South Carolina governor, was a prominent and frequent critic of Donald Trump early in his run."
2016-11-23,"Trump Tower, the Center of the Political Universe",A single day at Trump Tower in Manhattan provides a view of potential cabinet members and staff in the next administration.
2016-11-23,George Soros Pledges $10 Million to Fight Hate Crimes,"Saying the Trump campaign awakened “dark forces,” Mr. Soros, the billionaire Democratic donor, will fund grants to community and civil rights groups and efforts to track attacks."
2016-11-24,Trump to Accept Inauguration Funds From Corporations and Big Donors,The move represents a continued march back from standards set in 2009 and complicates the president-elect’s pledge to eliminate influence from special interests.
2016-11-24,"Wilbur Ross, Billionaire Investor, Is Said to Be Trump’s Commerce Pick","After choosing national security hard-liners for some of his earliest appointments, the president-elect is turning to ultrawealthy conservatives."
2016-11-24,"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Not","Republicans plan to move forward on a years-old effort to shift Medicare to a system known as premium support, setting up a partisan fight."
2016-11-24,"Betsy DeVos, Trump’s Education Pick, Has Steered Money From Public Schools","Ms. DeVos, a philanthropist, activist and Republican fund-raiser, has worked to give families vouchers to attend private schools and pressed to expand charter schools."
2016-11-24,"Jared Kushner, Cast as Potential Player on Israel, Is Little Known There","President-elect Donald J. Trump said this week that Mr. Kushner, his son-in-law, could play a key, if undefined, role in Middle East peace efforts."
2016-11-24,Carving Donald Trump,Pass the stuffing and wave the olive branch.
2016-11-24,Trump Cites Progress in Keeping Carrier Air Conditioning Plant in Indiana,"Donald J. Trump, who had made coming job losses at a Carrier plant a campaign issue, said he had reached out to the company."
2016-11-24,All the Clamor? Trump’s Palm Beach Neighbors See an Upside,"A security cordon and news trucks descended on the area around the president-elect’s Florida resort, but many residents were blasé about the activity."
2016-11-24,"Trump Signs, Trees and Accusations That a New York Agency Is Biased","When his signs supporting Donald J. Trump for president were stolen or vandalized at his home in Queens, Michael Ricatto tried to catch the perpetrator. What happened next was a surprise."
2016-11-24,Would Trump Have Won Trump University Cases? Evidence Says He Faced Hard Fight,"Sworn statements described a scheme to cheat customers, and sales playbooks called for tapping into “the roller coaster of emotions” to get people to sign up."
2016-11-25,"In Scotland, Trump Built a Wall. Then He Sent Residents the Bill.","The president-elect left a trail of unmet promises on one of his golf courses, and lashed out at homeowners who stood in his way."
2016-11-25,Trump Has Options for Undoing Obama’s Climate Legacy,"A little-known office under the control of the White House can keep some environmental regulations from taking effect, and the president can reverse rules not yet completed."
2016-11-25,Republicans Divided Between Romney and Giuliani for Secretary of State,The leading candidates are both high-profile politicians with their share of detractors.
2016-11-25,Donald Trump and the Lawsuit Presidency,The $25 million settlement of the Trump University fraud cases is only the tip of the iceberg.
2016-11-25,How Trump Won the Troops,The regions and classes that send their children off to war were the same ones that voted for the president-elect.
2016-11-25,Will Donald Trump Destroy the Iran Deal?,Leaders of other countries need to make clear to the president-elect that they will work to keep the nuclear agreement in place.
2016-11-25,Donald Trump Goes to Washington,And the Lincoln Memorial gets a makeover.
2016-11-25,"With North Korea Looming, Trump May Be Rethinking China Showdown","Starting a trade war would jeopardize Beijing’s cooperation on containing the North, whose nuclear capabilities have been increasing sharply."
2016-11-25,Donald Trump Adds K.T. McFarland to His National Security Team,"Ms. McFarland, an aide in three Republican administrations, was named deputy national security adviser, while Donald F. McGahn II was chosen as White House counsel."
2016-11-25,Remember When ‘Figaro’ Was Set in Trump Tower?,"Peter Sellars on his Reagan-era staging of “Le Nozze di Figaro” (1988), why he chose the setting, and what Mozart was saying about money, class and power."
2016-11-26,"Potential Conflicts Around the Globe for Trump, the Businessman President","In many of the president-elect’s international development ventures, his business partners have close ties to foreign governments."
2016-11-26,"‘Vulture’ or ‘Phoenix’? Wilbur Ross, Risk-Taker, Is Eyed for Commerce Post","President-elect Donald J. Trump is turning not to a cautious corporate chieftain, but to somebody usually considered either a hero or a villain."
2016-11-26,"U.S. Officials Defend Integrity of Vote, Despite Hacking Fears","Some opponents of Donald J. Trump are seeking recounts in Wisconsin, Michigan and Pennsylvania, states where his margin of victory was extremely thin."
2016-11-26,Donald Trump’s Caldron of Conflicts,Mr. Trump’s business interests will threaten the integrity of the government.
2016-11-26,The Soldier Donald Trump Called a Traitor,The president-elect’s campaign crusade against Sgt. Bowe Bergdahl makes it unlikely that the former Taliban hostage can get a fair trial.
2016-11-26,The Pretend Populism of Donald Trump,The “blue-collar billionaire” is looking plenty regal so far.
2016-11-26,Trump’s Next Battle: Keeping These Republican Senators Happy,Lindsey Graham. John McCain. Jeff Flake. They are just a few of the lawmakers the president-elect may sometimes find himself having to win over.
2016-11-26,A Donald Trump-Led Trip Back to the Gold-Plated ’80s,"The wealth culture of today, in contrast to the excesses of the 1980s, emphasizes staying under the radar. The election of Mr. Trump could change that."
2016-11-26,Fate of U.S.-Cuba Thaw Is Less Certain Under Donald Trump,"The president-elect has been critical of the détente, and sent mixed signals during the campaign about his intentions toward the island nation."
2016-11-26,"Trump Leans on Carrier to Keep 2,000 U.S. Jobs From Moving to Mexico","Two factories in Indiana were slated to close and their jobs moved to Monterrey. Mr. Trump tweeted, “Making progress,” in capital letters."
2016-11-27,"Trump Claims, With No Evidence, That ‘Millions of People’ Voted Illegally",The president-elect made the unsubstantiated claim as part of a storm of Twitter posts voicing anger about a three-state recount push.
2016-11-27,"Combative, Populist Steve Bannon Found His Man in Donald Trump","Mr. Bannon courted politicians who share his dark, populist worldview of a ruling class preying on working Americans and “the Judeo-Christian West” in a “war against Islamic fascism.”"
2016-11-27,Invoking Radicals of America’s Recent Past in a Politically Fraught Present,"The outcome of this year’s election gives “Party People,” a play now at the Public Theater that draws on the ideas and activism of groups like the Black Panthers and Young Lords, a special urgency."
2016-11-27,South Korean Leader Digs In Against Rising Calls for Impeachment,A bizarre scandal and an escalating backlash could make President Park Geun-hye the first South Korean leader to be removed from office since 1979.
2016-11-27,"Fidel Castro, Donald Trump, Cyber Monday: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.
2016-11-27,"Fidel Castro, François Fillon, Narendra Modi: Your Monday Briefing",Here’s what you need to know to start your day.
2016-11-27,"At World Chess Championship, Familiar Overtones of East-West Politics","A Russian and a Norwegian are battling in a contest that is once again taking place during escalating tensions among Russia, the United States and Western Europe."
2016-11-27,Obama Expands War With Al Qaeda to Include Shabab in Somalia,"The administration’s move to stretch a 2001 war authorization will strengthen Donald J. Trump’s authority to combat thousands of Somali militants, and has drawn objections from some experts."
2016-11-28,Supreme Court Agenda in the Trump Era? A Justice Seems to Supply One,"At an energized conservative legal gathering, Justice Samuel A. Alito Jr. suggested that only resolve on the right could rescue free speech, religious liberty and gun rights."
2016-11-28,"Trump’s Promises Will Be Hard to Keep, but Coal Country Has Faith","Though experts say out-of-work miners are likely to be disappointed by Donald J. Trump’s economic plans, his supporters in West Virginia believe he can bring jobs back."
2016-11-28,Donald Trump’s Threat to Close Door Reopens Old Wounds in Cuba,"In a post on Twitter, he said he would “terminate” the pact President Obama made if Cuba is unwilling to make “a better deal for the Cuban people.”"
2016-11-28,Trump Meets Petraeus as Secretary of State Sweepstakes Heat Up,"Mr. Trump was widely criticized for baseless claims of voter fraud, and one of his advisers publicly denounced Mitt Romney, a contender to lead the State Department."
2016-11-28,Congress May Hold Key to Handling Trump’s Conflicts of Interest,"If divestment or a blind trust does not solve the issue, Congress could approve actions in advance, adding transparency."
2016-11-28,"Cities Vow to Fight Trump on Immigration, Even if They Lose Millions","Officials in what are known as sanctuary cities say they will act as a bulwark against mass deportations, even at the risk of losing federal money for local services."
2016-11-28,Can Oil Help Mexico Withstand Trump’s Attack on Trade? It’s Hard to See How,"The country’s state-owned oil company, Pemex, is saddled with debt and struggling with production. As a Donald J. Trump presidency looms, fixing it is a top priority."
2016-11-28,Donald Trump Faces Obstacles to Resuming Waterboarding,"Federal law, international pressure and resistance from inside the C.I.A. stand in the way of Donald J. Trump using brutal interrogation tactics."
2016-11-28,‘Trump Effect’ Is Already Shaping Events Around the World,"Donald J. Trump’s election is influencing markets, currencies and government policies as the world bets on how he will rewrite international rules."
2016-11-28,Heng on Trump and the Trans-Pacific Partnership,"A toxic political war over money, jobs and globalization killed the complex trade deal that was supposed to be a signature legacy of President Obama."
2016-11-29,Trump Picks Elaine Chao for Transportation Secretary,"Ms. Chao, as a former labor secretary and the wife of the Senate majority leader, has an establishment background at odds with the president-elect’s campaign."
2016-11-29,"David Petraeus, Secretary of State Candidate, Meets With Trump","Mr. Petraeus, a retired general and former C.I.A. director, has emerged as a new contender after bitter internal feuding over the State Department post."
2016-11-29,Trump Victory Tour Set as Cabinet Comes Together,"The president-elect, still trying to choose among a number of possibilities to be his secretary of state, won’t pull back on his habit of overnight and morning Twitter posts."
2016-11-29,Trump Calls for Revoking Flag Burners’ Citizenship. Court Rulings Forbid It.,"The proposal, advanced by the president-elect via Twitter, appears to be in conflict with an array of Supreme Court precedents."
2016-11-29,Dear President-Elect Trump: Here’s How to Fix Your Conflict-of-Interest Problem,"Consider hiring a corporate monitor, an independent overseer who will issue regular public reports about any possible instances of conflicts. We have just the person for you."
2016-11-29,Trump Taps Hollywood’s Mnuchin for Treasury and Dines With Romney,"Steven Mnuchin, a longtime Trump acquaintance, is a former Goldman Sachs partner who has worked in hedge funds and Hollywood finance and has no government experience."
2016-11-29,"Challenging the Boss in Public? For Kellyanne Conway, It’s Part of the Job",Ms. Conway’s criticism of Mitt Romney was expected to draw fury from President-elect Donald J. Trump. But she is not a typical aide.
2016-11-29,"Vote Recount Push Advances, but Reversing Trump’s Win Is Unlikely","In Wisconsin, elections officials said on Monday that a recount of the state’s nearly three million votes would most likely begin on Thursday."
2016-11-29,What (Lots of) Money Can Buy at Trump’s Inauguration,"An “exclusive” luncheon with cabinet appointees, an “intimate” dinner with the vice president-elect and more are available — for donors who give enough."
2016-11-29,"Tom Price, Obamacare Critic, Is Trump’s Choice for Health Secretary",The six-term Republican congressman from Georgia has led opposition to the Affordable Care Act.
2016-11-30,"If Trump Tweets It, Is It News? A Quandary for the News Media",News organizations grapple with covering a commander in chief who uses his Twitter account as a bully pulpit and propaganda weapon.
2016-11-30,Why the Trump Team’s Economic Promises Will Be Hard to Execute,"The men chosen to lead the Treasury and Commerce Departments vow to cut taxes, increase growth and hold the line on deficits, testing the limits of economic math."
2016-11-30,Trump to Announce Carrier Plant Will Keep Jobs in U.S.,"Reversing a plan the president-elect had assailed, the company will keep roughly half of the 2,000 manufacturing jobs in Indiana that it was to shift to Mexico."
2016-11-30,Ethics Office Praises Donald Trump for a Move He Hasn’t Committed To,"In a series of oddly informal Twitter posts, the Office of Government Ethics appeared to conclude, wrongly, that Mr. Trump had promised to divest his assets."
2016-11-30,C.I.A. Chief Warns Donald Trump Against Tearing Up Iran Nuclear Deal,John Brennan told the BBC that canceling the accord would be “the height of folly” and could lead to a nuclear arms race in the Middle East.
2016-11-30,Sarah Palin for Veterans Affairs? A Wrestling Impresario for Small Business?,"The president-elect, who continues to fill his cabinet, will travel to Indiana this week to announce the saving of 1,000 factory jobs."
2016-11-30,Steven Mnuchin Is More Pragmatist Than Ideologue,Such an approach could help Mr. Mnuchin balance competing views while pushing for some of President-elect Donald J. Trump’s major first-year goals.
2016-11-30,"Tom Price, H.H.S. Nominee, Drafted Remake of Health Law","Mr. Price’s bill, the Empowering Patients First Act, would weaken many consumer protections in the Affordable Care Act, President Obama’s signature domestic achievement."
2016-11-30,"Mr. Trump, Meet the Constitution",Why is the president-elect afraid of free speech?
2016-11-30,"In Paris, Worries That Trump Will Embolden Le Pen","The National Front candidate for French president views Donald Trump’s election as “good news for our country,” but others see much to protest."
